optimizer,epoch,particle,trace,det,logdet,maxeig,mineig,eigval_coef_var,log_eigval_coef_var,log_maxeig,log_mineig
adamw,2,6,1161.5805278718472,58213.68776923278,10.971875816583633,1099.8926,0.29213622,2.0956724,0.7398744,7.002968,-1.230535
adamw,2,7,848.0226956307888,24862.582967379785,10.121119350194931,797.2417,0.23925278,2.0781372,0.7314719,6.681158,-1.4302347
adamw,2,8,1140.6335877776146,28859.388541177428,10.270190834999084,1080.6459,0.29577315,2.097171,0.7405893,6.9853144,-1.2181625
adamw,2,9,1495.5171338319778,170163.26860420947,12.044513881206512,1430.6768,0.5206235,2.1211536,0.7519601,7.265903,-0.65272814
adamw,2,10,1465.1199932694435,78073.35297299015,11.265403985977173,1400.8488,0.4758662,2.1200151,0.75142324,7.2448335,-0.74261856
adamw,2,11,1089.0256679952145,4835.879083917846,8.483817994594574,1039.1368,0.17847791,2.1149075,0.7490111,6.9461455,-1.7232904
adamw,2,12,1081.7709252387285,7948.4675146275795,8.980734184384346,1038.7465,0.120422855,2.1306143,0.75641036,6.94577,-2.116746
adamw,2,13,945.4128722846508,34855.89530041534,10.45897763967514,881.88434,0.22536027,2.0591075,0.72227263,6.782061,-1.490055
adamw,2,14,1230.3053092509508,24495.26383688051,10.106234923005104,1172.3058,0.103665486,2.1112528,0.7472815,7.0667276,-2.266586
adamw,2,15,859.0396921783686,6454.039947287835,8.77246156707406,805.4014,0.09180851,2.07133,0.72819096,6.691341,-2.3880503
adamw,2,16,1298.9078652858734,26321.63349939897,10.178146524354815,1245.6578,0.21880546,2.1274517,0.75492483,7.127419,-1.5195723
adamw,2,17,1274.2043280899525,57041.56059113337,10.951535314321518,1207.9728,0.25931096,2.0987587,0.74134606,7.0966988,-1.3497273
adamw,2,18,1242.4212171435356,147623.70873205666,11.9024218916893,1176.7764,0.3947395,2.0962694,0.7401593,7.070534,-0.9295292
adamw,2,19,1330.862714290619,55851.36127633393,10.930449441075325,1265.5084,0.36176032,2.1062715,0.7449193,7.1432295,-1.0167733
adamw,3,1,1559.4595994055271,195293.38648963778,12.182258129119873,1479.117,0.4098222,2.1000168,0.7419454,7.2992005,-0.8920319
adamw,3,2,1161.0714702010155,68760.46084110941,11.138384282588959,1098.657,0.28401417,2.0940216,0.7390864,7.001844,-1.2587311
adamw,3,3,1275.3660076688975,5443.864661916378,8.602244779467583,1202.4487,0.025679005,2.0853243,0.7349244,7.0921154,-3.6620815
adamw,3,4,1656.7526761889458,587422.7759971686,13.283499702811241,1556.3643,0.582721,2.076614,0.73073864,7.3501077,-0.5400468
adamw,3,5,1357.7047769129276,583228.1610071574,13.27633373439312,1261.8717,0.25449303,2.0506032,0.718134,7.1403513,-1.3684819
adamw,3,6,1674.0992156863213,475821.7347604816,13.072798669338226,1584.5294,0.35138887,2.0946863,0.7394038,7.368043,-1.0458617
adamw,3,7,1299.7666100859642,228406.19451338905,12.338880896568298,1230.9226,0.35310835,2.096114,0.7400851,7.115519,-1.0409803
adamw,3,8,1498.0616932362318,51717.541500471634,10.853552147746086,1415.9207,0.11526494,2.0912273,0.7377511,7.255535,-2.160522
adamw,3,9,2254.335232436657,830463.0916789377,13.6297387778759,2156.349,0.46569598,2.120936,0.75185746,7.676172,-0.76422226
adamw,3,10,1783.2411049455404,78657.36952487592,11.272856464609504,1704.7197,0.17798354,2.1195097,0.75118476,7.441156,-1.7260642
adamw,3,11,1387.4865001440048,59067.47748901789,10.986435621976852,1319.6838,0.2727055,2.1069193,0.74522686,7.1851473,-1.2993629
adamw,3,12,1632.9211155176163,96982.54442663399,11.482286363840103,1570.3789,0.29040545,2.1344578,0.7582127,7.359072,-1.2364773
adamw,3,13,1074.3821131587029,46346.07208828111,10.743892043828964,1005.8113,0.23926666,2.0678985,0.7265329,6.91355,-1.4301766
adamw,3,14,1426.6747741103172,92884.36509781399,11.439110204577446,1360.6353,0.20182908,2.1134775,0.7483347,7.215707,-1.6003342
adamw,3,15,1330.1566302031279,39483.014063543866,10.583625867962837,1253.253,0.121087626,2.083553,0.73407465,7.1334977,-2.1112409
adamw,3,16,1796.0704431831837,196370.38861918674,12.187758177518845,1718.8705,0.30011463,2.1222248,0.752465,7.449423,-1.2035908
adamw,3,17,2048.566694945097,250504.7343607366,12.431232869625092,1958.7458,0.23088446,2.120016,0.7514237,7.5800595,-1.4658378
adamw,3,18,1839.169598698616,1686343.3457882174,14.338073179125786,1747.288,0.56618714,2.103829,0.743759,7.4658203,-0.5688306
adamw,3,19,1763.2239741683006,241368.46187287048,12.394079953432083,1680.4471,0.35007006,2.11186,0.7475691,7.426815,-1.0496219
adamw,4,1,1914.786671280861,589903.5124812536,13.28771436214447,1806.1028,0.39873642,2.086439,0.73545873,7.4989266,-0.9194547
adamw,4,2,1895.3697232604027,980447.4450210083,13.795764207839966,1795.0083,0.39840162,2.0961404,0.74009776,7.492765,-0.9202947
adamw,4,3,1722.105362266302,222711.9130897498,12.313634634017944,1632.4233,0.26464736,2.0985036,0.7412245,7.397821,-1.329357
adamw,4,4,2140.495259344578,941149.5684796197,13.754857748746872,2011.5332,0.35910934,2.0775619,0.73119503,7.6066527,-1.0241283
adamw,4,5,1531.73698168993,437795.0368229462,12.989506006240845,1428.0671,0.28112608,2.0580716,0.72176945,7.264077,-1.268952
adamw,4,6,2105.8029778897762,1280807.6902645414,14.063001155853271,1988.7911,0.3657036,2.089403,0.73687834,7.595282,-1.0059321
adamw,4,7,1557.6204068660736,446961.2142455517,13.010227024555206,1465.5974,0.27808768,2.0802255,0.7324763,7.290018,-1.2798188
adamw,4,8,1801.806674450636,526349.991912115,13.173721343278885,1700.472,0.39133745,2.0875485,0.7359904,7.438661,-0.93818504
adamw,4,9,2475.5078167915344,562943.244385528,13.240934401750565,2365.8723,0.28534538,2.1188428,0.7508701,7.7689023,-1.254055
adamw,4,10,2430.1282536685467,581063.2920844,13.272615015506744,2324.5828,0.22439948,2.1210947,0.7519323,7.751296,-1.4943274
adamw,4,11,1716.8984164595604,257043.2508444629,12.456999659538269,1633.1598,0.22383183,2.1071746,0.74534804,7.398272,-1.4968603
adamw,4,12,1995.4578461945057,242473.42963035396,12.398647755384445,1920.0793,0.35873726,2.1358392,0.75885963,7.560122,-1.0251651
adamw,4,13,1363.5890625417233,157859.94931773696,11.969463765621185,1274.5254,0.25929162,2.0640962,0.72469246,7.150329,-1.3498019
adamw,4,14,1870.8979818224907,1234623.7259455922,14.026276607066393,1779.6864,0.54960734,2.1070573,0.74529237,7.4841924,-0.5985512
adamw,4,15,2163.5457895994186,2103125.875009015,14.558935448527336,2054.358,0.5995749,2.1026845,0.74321485,7.6277184,-0.51153433
adamw,4,16,1978.3184195160866,289520.8090209394,12.575982630252838,1890.8687,0.3377239,2.1190298,0.7509583,7.5447917,-1.0855266
adamw,4,17,2513.1259168982506,1506339.6105275024,14.22519326210022,2405.3696,0.48432106,2.1225328,0.7526101,7.785459,-0.72500724
adamw,4,18,2151.8431928753853,1483459.5246890143,14.209887206554413,2036.3527,0.44975543,2.0942938,0.73921645,7.6189156,-0.79905134
adamw,4,19,2029.2911228835583,308235.8078056996,12.638620465993881,1937.098,0.36197156,2.1158454,0.7494545,7.5689464,-1.0161897
adamw,5,1,2250.6247138530016,526220.8183144025,13.173476457595825,2129.475,0.23456658,2.094026,0.7390886,7.663631,-1.4500158
adamw,5,2,2438.16429322958,3252636.492067506,14.994976624846458,2318.0151,0.4708026,2.1057231,0.74465895,7.7484665,-0.7533164
adamw,5,3,1988.1027733683586,391015.18652249407,12.87650203704834,1889.2562,0.25369698,2.104654,0.7441511,7.5439386,-1.3716147
adamw,5,4,2571.795826137066,2484575.9254295263,14.725613057613373,2416.0796,0.26617754,2.0767393,0.730799,7.7899017,-1.3235918
adamw,5,5,1920.5738072097301,3999208.9007880315,15.201607137918472,1783.2368,0.47998592,2.048214,0.7169682,7.4861856,-0.7339985
adamw,5,6,2764.5032599568367,15583874.259993888,16.561747428029776,2608.0762,0.6484223,2.086672,0.7355705,7.8663683,-0.43321308
adamw,5,7,1873.7764314711094,988830.0930451504,13.804277658462524,1758.8536,0.27233112,2.0743947,0.7296694,7.4724174,-1.3007367
adamw,5,8,2136.291232600808,202410.10387342123,12.218051075935364,2017.8474,0.097149596,2.089686,0.73701376,7.6097865,-2.3315032
adamw,5,9,2752.401645064354,1465562.3052238133,14.197749391198158,2639.3108,0.5565101,2.1271849,0.7547994,7.878273,-0.58607
adamw,5,10,2762.8512286543846,2328724.362535935,14.660831212997437,2647.6719,0.58718854,2.1256433,0.75407445,7.881436,-0.5324093
adamw,5,11,2230.056655228138,516416.48848430905,13.154668867588043,2120.372,0.24277371,2.106054,0.74481606,7.659347,-1.4156255
adamw,5,12,2582.4368633031845,1693359.8079602113,14.342224910855293,2482.5845,0.52740955,2.1334872,0.75775784,7.817055,-0.6397779
adamw,5,13,1951.3679250478745,1190208.8644822275,13.989639639854431,1821.4722,0.32136583,2.0607822,0.72308564,7.5074005,-1.1351751
adamw,5,14,2171.621437907219,1949432.4094508076,14.48304882645607,2064.8015,0.72249174,2.1060054,0.744793,7.6327896,-0.32504928
adamw,5,15,2671.0369948744774,7152791.2759870645,15.783012866973877,2546.9734,0.88618535,2.113136,0.7481731,7.842661,-0.12082916
adamw,5,16,2333.482629865408,2089867.1185830783,14.552611470222473,2217.5286,0.36911383,2.104672,0.74415964,7.704149,-0.9966502
adamw,5,17,2989.939166903496,2068031.086164931,14.54210740327835,2856.6084,0.3690083,2.118079,0.7505095,7.9573903,-0.99693614
adamw,5,18,2417.70475178957,3930702.5516430726,15.18432879447937,2295.1824,0.572788,2.1020818,0.74292815,7.738568,-0.55723965
adamw,5,19,2465.9734607338905,862157.6124263274,13.667193830013275,2354.2305,0.3624555,2.1161246,0.7495864,7.7639694,-1.0148536
adamw,6,1,2785.0752162337303,5039392.244379102,15.432796090841293,2638.281,0.50464016,2.0968971,0.74045867,7.877883,-0.68390965
adamw,6,2,2865.5922100543976,6122834.514616233,15.627535805106163,2726.8982,0.39985585,2.1080341,0.74575585,7.91092,-0.9166511
adamw,6,3,2320.3899800628424,252736.46547269548,12.440102338790894,2210.7178,0.18520181,2.111102,0.74721014,7.7010727,-1.6863092
adamw,6,4,3081.21339738369,5819935.0628372105,15.576799631118774,2903.3958,0.44549656,2.0841076,0.7343408,7.973636,-0.80856574
adamw,6,5,2251.096303611994,6793397.640316548,15.731462053954601,2094.683,0.38232592,2.0533988,0.71949637,7.6471577,-0.9614818
adamw,6,6,3091.1337282657623,8823779.929578073,15.99296061694622,2923.285,0.28185683,2.0926425,0.73842764,7.980463,-1.266356
adamw,6,7,2292.0490075945854,6172874.231824288,15.635675609111786,2153.6501,0.5646529,2.0768042,0.73083025,7.6749196,-0.57154405
adamw,6,8,2626.6982731074095,698781.4756215573,13.457093477249146,2490.5205,0.16556118,2.0990736,0.74149615,7.820247,-1.7984145
adamw,6,9,3250.583934813738,1903512.8641912546,14.459212183952332,3126.3345,0.46794322,2.1346831,0.75831825,8.047617,-0.7594083
adamw,6,10,2947.047933578491,1383320.1144512952,14.139996886253357,2823.9836,0.28740227,2.1254613,0.75398886,7.945904,-1.2468724
adamw,6,11,2903.185462862253,3291998.561108806,15.007005274295807,2764.9138,0.43672177,2.1101155,0.7467427,7.9247646,-0.82845896
adamw,6,12,3363.488086104393,9755123.016397046,16.093302711844444,3234.1653,0.71317995,2.1340382,0.75801605,8.081526,-0.33802155
adamw,6,13,2436.3031533956528,5185237.492958707,15.46132642030716,2284.93,0.4456085,2.0722556,0.7286377,7.734091,-0.8083145
adamw,6,14,2716.9471151828766,6244933.843735696,15.64728088863194,2591.8672,0.7161346,2.114192,0.7486727,7.8601336,-0.3338871
adamw,6,15,3012.533245205879,8800046.636377491,15.990267500281334,2872.8447,0.6321819,2.1133754,0.7482864,7.963058,-0.45857817
adamw,6,16,2885.7720375955105,7605316.274462041,15.844358138740063,2752.7153,0.45608637,2.113942,0.7485544,7.920343,-0.7850731
adamw,6,17,3423.7766322493553,9644267.51655644,16.081874132156372,3270.3638,0.738884,2.1175077,0.7502398,8.092656,-0.3026144
adamw,6,18,2990.6550869345665,7923301.960941472,15.885318502783775,2847.0664,0.55100083,2.1089907,0.7462095,7.9540443,-0.59601897
adamw,6,19,2640.3344153165817,844857.0341894549,13.6469224691391,2513.814,0.27715075,2.1093497,0.74637973,7.8295565,-1.2831937
adamw,7,1,3000.4068982601166,8357906.170106126,15.938718378543854,2838.8474,0.53711414,2.0939004,0.7390286,7.9511533,-0.62154466
adamw,7,2,3286.746629834175,12380347.829891603,16.33162099123001,3127.2327,0.5866837,2.1076705,0.74558336,8.047904,-0.53326946
adamw,7,3,2870.9406261742115,849880.6353320581,13.652851343154907,2743.2476,0.27312303,2.1183693,0.7506466,7.916898,-1.297833
adamw,7,4,3262.370206952095,8219184.132636362,15.921981811523438,3075.7415,0.56350106,2.0854115,0.7349662,8.0313015,-0.57358605
adamw,7,5,2587.4747293889523,19094574.59037352,16.764914721250534,2409.7754,0.40798172,2.0553694,0.7204556,7.7872887,-0.8965329
adamw,7,6,3307.612241908908,6574474.480306374,15.698705803137273,3132.3508,0.14637099,2.0960584,0.7400586,8.04954,-1.9216108
adamw,7,7,2630.6702629327774,17841617.256396633,16.69704405963421,2473.9673,0.6671159,2.0788856,0.73183197,7.813578,-0.40479147
adamw,7,8,3103.303201198578,1762312.4313161385,14.382137656211853,2950.996,0.18244475,2.10626,0.7449139,7.989898,-1.7013079
adamw,7,9,3674.540975511074,5302246.846267582,15.483641549944878,3540.3726,0.7294537,2.1391647,0.76041543,8.171988,-0.3154594
adamw,7,10,3112.9750294089317,1956857.475833175,14.486850023269653,2986.6528,0.33512378,2.1285205,0.7554271,8.001908,-1.0932553
adamw,7,11,3488.626892924309,4743362.099613009,15.372257053852081,3330.3384,0.37704515,2.1160157,0.7495349,8.110829,-0.9753903
adamw,7,12,3714.6432386040688,18991241.668122593,16.759488543495536,3564.756,0.8915327,2.1290612,0.75568116,8.178851,-0.11481314
adamw,7,13,2630.2711420357227,6060750.637481022,15.617344379425049,2468.2148,0.43176028,2.0736523,0.72931147,7.8112507,-0.83988476
adamw,7,14,2992.534989476204,3524866.103628348,15.075353041291237,2860.3442,0.26612258,2.1190524,0.750969,7.9586973,-1.3237983
adamw,7,15,3385.980382144451,20941823.70273313,16.857259139418602,3228.1667,0.7901178,2.1127264,0.7479793,8.07967,-0.23557323
adamw,7,16,3461.7993155121803,22773601.62216649,16.941112462431192,3311.5588,0.7356153,2.1210356,0.7519044,8.105174,-0.307048
adamw,7,17,3834.0978155732155,32006369.935536753,17.28144571185112,3663.1636,0.6855294,2.1180205,0.75048196,8.206082,-0.3775639
adamw,7,18,3438.8968833088875,13000351.23278394,16.380486488342285,3271.671,0.5788691,2.107406,0.74545777,8.093056,-0.5466789
adamw,7,19,3139.341155618429,4760672.910905005,15.375899821519852,2993.5613,0.39083734,2.1131713,0.7481898,8.004219,-0.9394638
adamw,8,1,3387.580860376358,12455981.028455624,16.337711423635483,3215.135,0.5426542,2.1015487,0.7426745,8.075624,-0.61128294
adamw,8,2,3576.8143439292908,13799937.43773235,16.440174132585526,3407.7725,0.6604675,2.1109855,0.7471549,8.133814,-0.41480738
adamw,8,3,3480.724997639656,6623686.57905333,15.706162422895432,3332.0608,0.53951526,2.1229708,0.75281644,8.111346,-0.6170842
adamw,8,4,3537.7463966012,12985858.68762127,16.379371643066406,3337.2542,0.5975176,2.0867534,0.7356095,8.112904,-0.5149715
adamw,8,5,2882.072454959154,36976244.57968179,17.42578625679016,2682.4092,0.44067028,2.053824,0.7197034,7.8944707,-0.81945837
adamw,8,6,3920.923029884696,16625041.314077798,16.62642005085945,3724.5752,0.16136442,2.1036146,0.7436571,8.222708,-1.82409
adamw,8,7,3559.344400405884,109844023.01439008,18.51457147859037,3358.1028,1.0165826,2.086714,0.7355906,8.119131,0.016446618
adamw,8,8,3519.2682265639305,4613839.991805464,15.344570755958557,3351.4673,0.2774487,2.109916,0.74664813,8.117153,-1.2821192
adamw,8,9,4069.679178953171,11491623.932390412,16.257129026576877,3917.5093,0.81863564,2.136873,0.75934356,8.2732115,-0.20011616
adamw,8,10,3597.868556678295,7197784.346414223,15.78928393125534,3448.6313,0.5188541,2.126144,0.75431,8.145733,-0.6561326
adamw,8,11,4024.913751602173,12623602.190931749,16.351079165935516,3833.7983,0.53170556,2.1105325,0.7469403,8.251612,-0.6316654
adamw,8,12,4155.652216017246,15825340.7902343,16.57712321728468,3993.7664,0.50433403,2.132745,0.75740993,8.29249,-0.6845165
adamw,8,13,2674.8446164131165,10793185.024706393,16.194425500929356,2510.5159,0.41147196,2.0740921,0.72952354,7.8282437,-0.8880144
adamw,8,14,3319.817077115178,3331992.2136248685,15.01908128708601,3173.7476,0.20879574,2.1195452,0.75120157,8.062669,-1.5663989
adamw,8,15,3657.4722158312798,29334047.50706293,17.194259144365788,3490.5557,0.8791135,2.1152658,0.7491805,8.157816,-0.12884128
adamw,8,16,4018.4040887355804,36012116.83157057,17.399366110563278,3850.17,0.75453544,2.1250207,0.75378156,8.255873,-0.28165305
adamw,8,17,4077.1433602571487,32208782.95686023,17.28775006532669,3897.9595,0.6376201,2.119671,0.75126094,8.2682085,-0.45001262
adamw,8,18,3920.888897538185,34232558.60488477,17.348687455058098,3739.7732,0.71609724,2.113712,0.7484457,8.22678,-0.33393928
adamw,8,19,3467.703362464905,4684748.473362373,15.359823107719421,3313.01,0.39892522,2.117943,0.75044537,8.105613,-0.9189813
adamw,9,1,3882.408402442932,43099766.33070759,17.579027980566025,3692.4888,0.77808166,2.1067464,0.7451448,8.214056,-0.25092378
adamw,9,2,3833.9872558116913,34925437.21926407,17.36872588098049,3651.1062,0.61527634,2.1098087,0.7465973,8.2027855,-0.4856838
adamw,9,3,3989.0430321097374,15588716.48510137,16.56205816566944,3819.3008,0.58523387,2.1233642,0.75300175,8.247823,-0.5357437
adamw,9,4,4254.928005814552,68441393.6947099,18.041488524526358,4034.5046,0.93982863,2.0993326,0.74161947,8.302639,-0.062057722
adamw,9,5,3147.9870663285255,65447629.5537285,17.996761053800583,2917.5464,0.47753173,2.0436337,0.7147294,7.9784985,-0.73912466
adamw,9,6,4292.8751013726,41627861.363923214,17.544279761612415,4070.8906,0.24847536,2.0993195,0.7416132,8.311617,-1.3924116
adamw,9,7,3778.703110218048,186566869.02171904,19.044300451874733,3558.8901,0.8748472,2.0824797,0.73355937,8.177204,-0.13370608
adamw,9,8,3856.0226752460003,6300314.499591764,15.656110763549805,3676.6711,0.3608541,2.1129844,0.74810135,8.209764,-1.0192816
adamw,9,9,4537.789107322693,21374017.38901146,16.87768656015396,4376.2666,0.79033554,2.1415954,0.761551,8.383951,-0.23529768
adamw,9,10,4153.642437189817,9769699.18787002,16.094796046614647,3985.6362,0.36059555,2.1288621,0.75558764,8.290452,-1.0199983
adamw,9,11,4195.472351193428,21344008.705078483,16.87628209590912,3993.4375,0.5067817,2.1087534,0.74609697,8.292408,-0.6796749
adamw,9,12,4724.238482713699,40886363.41951057,17.526306986808777,4548.212,0.716306,2.1371872,0.7594906,8.422489,-0.33364788
adamw,9,13,3223.3615403175354,24292170.410980087,17.00566440820694,3037.7915,0.5524566,2.0841467,0.73435956,8.018886,-0.59338033
adamw,9,14,3699.3405097424984,11404313.199119734,16.24950234591961,3533.2837,0.35568246,2.1172092,0.7500988,8.169983,-1.0337169
adamw,9,15,3874.467564225197,33931253.08875064,17.339846923947334,3691.1519,0.6949657,2.110897,0.747113,8.213694,-0.36389276
adamw,9,16,4222.239633202553,30557669.688536014,17.23512640595436,4048.879,0.5939919,2.1271584,0.754787,8.306195,-0.52088964
adamw,9,17,4780.371522247791,33353457.797884673,17.322671502828598,4576.0093,0.5101819,2.1228137,0.7527424,8.428582,-0.67298794
adamw,9,18,4022.494166135788,44326892.94797451,17.60710182413459,3834.733,0.6720228,2.1124272,0.74783766,8.251855,-0.397463
adamw,9,19,3717.4179118275642,8377536.564319927,15.941064178943634,3558.1924,0.52251446,2.1225863,0.7526353,8.177008,-0.6491026
adamw,10,1,4288.924899816513,56486592.667580016,17.84951449930668,4080.4421,0.83424705,2.1074882,0.7454968,8.313961,-0.1812257
adamw,10,2,4165.471250414848,83229319.66417551,18.23711085319519,3966.1328,0.5636896,2.1093595,0.7463844,8.285547,-0.57325155
adamw,10,3,4278.975871860981,20077763.184695154,16.815123289823532,4101.364,0.61225253,2.1260777,0.7542788,8.319075,-0.49061045
adamw,10,4,4630.856144428253,49939770.991003096,17.72632848843932,4399.021,0.626235,2.103853,0.7437704,8.389137,-0.46802956
adamw,10,5,3648.1613127589226,86662625.35640192,18.277533441781998,3390.564,0.3622188,2.0503316,0.71800154,8.128752,-1.0155069
adamw,10,6,4528.238130018115,49559446.81504092,17.71868334710598,4293.927,0.20223133,2.0992131,0.7415626,8.364957,-1.598343
adamw,10,7,4043.3404431939125,279303765.9144334,19.447810225188732,3803.2336,0.94550115,2.0793302,0.7320458,8.243607,-0.056040175
adamw,10,8,4182.248248398304,14278892.961945336,16.474293172359467,3997.081,0.5175567,2.1188166,0.7508577,8.29332,-0.65863615
adamw,10,9,5308.371963024139,29725751.39010701,17.207524608820677,5120.6963,0.73986095,2.142246,0.7618548,8.541046,-0.30129302
adamw,10,10,4455.691465765238,15087386.27631985,16.52936941385269,4280.807,0.45597544,2.1319926,0.757057,8.3618965,-0.78531635
adamw,10,11,4366.17935281992,21990619.067622315,16.906126469373703,4160.698,0.55564463,2.1115983,0.7474451,8.333438,-0.58762634
adamw,10,12,5047.892386287451,28205170.9387146,17.155016019940376,4850.893,0.30771264,2.1325405,0.75731397,8.486918,-1.1785889
adamw,10,13,3593.2678705453873,50871137.70151574,17.7448062421754,3387.9824,0.58288777,2.085188,0.734859,8.12799,-0.5397606
adamw,10,14,4101.656333327293,17940669.719547745,16.70258069038391,3918.7085,0.3097129,2.1179514,0.7504493,8.273518,-1.1721096
adamw,10,15,4281.9897310733795,91794138.12467015,18.33505855500698,4064.5142,0.6949558,2.101748,0.74276936,8.310049,-0.36390698
adamw,10,16,4362.453417003155,29857893.702112813,17.211959674954414,4183.525,0.5670423,2.1272793,0.75484383,8.338909,-0.5673214
adamw,10,17,5248.679799616337,19474033.56597501,16.78459268808365,5018.4805,0.23862106,2.1199424,0.7513889,8.520883,-1.4328785
adamw,10,18,4316.735954940319,63501154.02324846,17.966568909585476,4114.0312,0.7265252,2.1117225,0.74750394,8.322159,-0.31948215
adamw,10,19,4245.772352576256,16304978.463011542,16.60698115825653,4065.2249,0.5128082,2.1233952,0.75301635,8.310225,-0.66785336
adamw,11,1,4605.840971052647,47022976.10657091,17.666146770119667,4387.7856,0.5443037,2.1108,0.74706703,8.3865795,-0.6082479
adamw,11,2,4809.370896100998,207238640.85477993,19.14938196539879,4587.197,0.68245363,2.1136992,0.7484396,8.431025,-0.38206068
adamw,11,3,4549.669040083885,24959287.50350336,17.032756224274635,4357.788,0.46790385,2.1243198,0.75345165,8.37972,-0.75949246
adamw,11,4,5982.719371914864,298691679.8322669,19.514922730624676,5709.495,1.1220999,2.1152868,0.74919045,8.649886,0.11520182
adamw,11,5,3974.8070006370544,61241737.96509381,17.930339574813843,3704.7505,0.4555018,2.0571349,0.7213142,8.217371,-0.7863556
adamw,11,6,5083.0418581962585,145558841.46763906,18.796091109514236,4835.0625,0.41995692,2.1069493,0.7452411,8.483649,-0.8676032
adamw,11,7,4561.681803822517,413001236.75561357,19.8389610350132,4301.6235,0.8631927,2.0855114,0.73501414,8.366748,-0.14711735
adamw,11,8,4885.171063899994,31147379.654518176,17.25424076616764,4684.8413,0.4446823,2.1273594,0.7548815,8.452087,-0.8103952
adamw,11,9,5901.609489440918,70453324.12268369,18.070460696239024,5701.367,0.99363136,2.1459785,0.7635956,8.648461,-0.006389003
adamw,11,10,5008.39011618495,12561229.64511973,16.34612517990172,4817.555,0.18519613,2.1349761,0.75845546,8.480021,-1.6863399
adamw,11,11,4721.7618171572685,25117150.084527057,17.039061784744263,4505.311,0.5436104,2.1147895,0.74895525,8.4130125,-0.60952246
adamw,11,12,5374.556858897209,89275190.38677128,18.30723410844803,5161.835,0.54980814,2.1310725,0.7566254,8.549047,-0.5981859
adamw,11,13,3974.77860891819,108025515.68553805,18.49787784460932,3744.8228,0.70914435,2.0832353,0.7339221,8.228129,-0.34369615
