optimizer,epoch,mean,std,coef_var,max
adamw,1,1.9987640380859375,2.313279151916504,1.1573547991846769,15.30023193359375
adamw,2,0.7318016290664673,0.23104646801948547,0.31572281181475786,1.3049073219299316
adamw,3,0.6323424577713013,0.21022044122219086,0.33244713942365245,1.262682318687439
adamw,4,0.7727494239807129,0.2916562855243683,0.37742672653438014,1.7905941009521484
adamw,5,0.6225873231887817,0.2909136414527893,0.46726560374339343,1.3153772354125977
adamw,6,0.7003348469734192,0.3223845064640045,0.4603290952281294,1.6664514541625977
adamw,7,0.5881003141403198,0.24224279820919037,0.41190727565466256,1.042811393737793
adamw,8,0.8481634259223938,0.5260602235794067,0.6202345061121992,2.4220755100250244
adamw,9,0.7299278378486633,0.4173979163169861,0.5718344946908651,2.4383742809295654
adamw,10,0.7385793924331665,0.3468790650367737,0.4696571128176481,1.6722147464752197
adamw,11,0.6646390557289124,0.3396405279636383,0.5110150013546122,1.6580668687820435
adamw,12,0.649040699005127,0.2618485987186432,0.4034394131523866,1.3252012729644775
adamw,13,0.42542794346809387,0.27785518765449524,0.6531192694805524,1.4259064197540283
adamw,14,0.7949758768081665,0.41104450821876526,0.5170528065192516,2.4238994121551514
adamw,15,0.511631190776825,0.33079567551612854,0.6465510341812265,1.595324993133545
adamw,16,0.6261482834815979,0.35675960779190063,0.5697685631400211,1.4098780155181885
adamw,17,0.6435614228248596,0.44394272565841675,0.6898218412622791,2.2248361110687256
adamw,18,0.7200044393539429,0.3914264142513275,0.5436444455850201,1.8672605752944946
adamw,19,0.5546557903289795,0.35302579402923584,0.6364772534328865,1.525443434715271
adamw,20,0.5117921233177185,0.4862593710422516,0.9501110878574106,2.7700369358062744
adamw,21,0.4809923470020294,0.29064062237739563,0.6042520721772926,1.2420904636383057
adamw,22,0.6219028830528259,0.4245445132255554,0.682654036176085,2.255580186843872
adamw,23,0.4148973226547241,0.3508165776729584,0.8455503531048488,1.378551959991455
adamw,24,0.6778062582015991,0.6522987484931946,0.9623675506093987,3.214808702468872
adamw,25,0.6522941589355469,0.5129806399345398,0.7864253157987076,2.138288974761963
adamw,26,0.7851336002349854,0.592650294303894,0.7548400605024644,2.7733163833618164
adamw,27,0.4349445402622223,0.38317862153053284,0.880982714024918,1.762825846672058
adamw,28,0.5908196568489075,0.5514623522758484,0.9333852485833523,3.0743696689605713
adamw,29,0.38587287068367004,0.3689117431640625,0.9560447784536998,1.666736364364624
adamw,30,0.5386956930160522,0.43979570269584656,0.8164084257542809,2.1761515140533447
adam,1,1.9758943319320679,2.324897050857544,1.176630254606892,15.296760559082031
adam,2,0.7305445075035095,0.25038570165634155,0.3427384630020488,1.470108985900879
adam,3,0.7572851777076721,0.2244533747434616,0.29639214043894213,1.275668978691101
adam,4,0.6863574385643005,0.2877786159515381,0.4192838888050864,1.5727543830871582
adam,5,0.7408629655838013,0.2781262695789337,0.37540852019748316,1.278146505355835
adam,6,0.5630725622177124,0.19449003040790558,0.3454084667913651,1.0677987337112427
adam,7,0.6240150928497314,0.2806403934955597,0.44973334252852837,1.383704423904419
adam,8,0.7808946967124939,0.3783605992794037,0.4845219219342537,1.615912914276123
adam,9,0.5927137136459351,0.3101327121257782,0.5232420053487068,1.338499665260315
adam,10,0.8021835088729858,0.3650868833065033,0.45511641571817646,1.5807064771652222
adam,11,0.5902817249298096,0.3197300136089325,0.54165663632387,1.6271015405654907
adam,12,0.9195410013198853,0.40417224168777466,0.4395369440923638,2.0515105724334717
adam,13,0.6690286993980408,0.3848080337047577,0.5751741801973355,2.0996649265289307
adam,14,0.7407388091087341,0.473326176404953,0.638992004448187,2.292587995529175
adam,15,0.6675651669502258,0.45948466658592224,0.6882993441450515,1.9096832275390625
adam,16,0.7016926407814026,0.3738888204097748,0.5328384518803182,1.730535864830017
adam,17,0.6253037452697754,0.33196374773979187,0.5308839907820677,1.2410396337509155
adam,18,0.4306347668170929,0.2773395776748657,0.6440250510304536,1.194585919380188
adam,19,0.70350182056427,0.4261802136898041,0.605798309587842,2.1099765300750732
adam,20,0.6498398780822754,0.3529173731803894,0.5430835888709603,1.6013981103897095
adam,21,0.7308682799339294,0.5099316239356995,0.6977066017720694,1.9637564420700073
adam,22,0.6651543378829956,0.4632299840450287,0.6964248109985467,2.411996841430664
adam,23,0.5299763083457947,0.3479363024234772,0.6565129364168831,1.6010757684707642
adam,24,0.6555206179618835,0.4774681329727173,0.7283800385367597,2.1143293380737305
adam,25,0.7011007070541382,0.4484630227088928,0.639655641759698,1.5446882247924805
adam,26,0.4795888066291809,0.3841763436794281,0.8010536075260699,1.5708494186401367
adam,27,0.6197554469108582,0.4502439796924591,0.7264865229288084,1.9290035963058472
adam,28,0.7587321400642395,0.5328993201255798,0.7023550103999296,2.426297187805176
adam,29,0.4996546506881714,0.3994068503379822,0.7993658215487067,1.5371812582015991
adam,30,0.6730689406394958,0.4212718605995178,0.6258970443640726,1.8665653467178345
muon,1,1.1307194232940674,0.24247188866138458,0.21444036749187836,1.4871156215667725
muon,2,0.6137426495552063,0.2717066705226898,0.44270456146334625,1.2867813110351562
muon,3,0.6018683910369873,0.3959835469722748,0.6579238133606188,1.8073595762252808
muon,4,0.641704797744751,0.4449758529663086,0.6934276547879347,1.6395784616470337
muon,5,0.7264676094055176,0.4833528399467468,0.665346718406735,1.6645572185516357
muon,6,0.7786439657211304,0.6775389313697815,0.8701524203584987,2.3656013011932373
muon,7,0.8406267762184143,0.7966969013214111,0.9477415231827101,3.123814344406128
muon,8,0.6865450143814087,0.7600741982460022,1.1071003099932855,2.889399766921997
muon,9,0.8982042074203491,0.9272323250770569,1.0323179488772123,3.066486358642578
muon,10,1.193630576133728,1.214573621749878,1.0175456678430492,3.827181100845337
muon,11,1.0302459001541138,1.1361702680587769,1.1028146463759942,3.31532883644104
muon,12,1.3499996662139893,1.3476709127426147,0.9982749970021064,5.235968112945557
muon,13,1.2723569869995117,1.3177316188812256,1.0356618719002102,4.554200649261475
muon,14,1.3940130472183228,1.4747180938720703,1.057894039668273,4.987296104431152
muon,15,1.0949963331222534,1.4452463388442993,1.3198640900680911,3.986198902130127
muon,16,1.2219491004943848,1.40478515625,1.1496265725648,4.730724334716797
muon,17,0.9553524255752563,1.2848408222198486,1.3448867536461155,3.5531647205352783
muon,18,1.169219970703125,1.600519061088562,1.3688776288400804,4.73928689956665
muon,19,1.3715499639511108,1.80540931224823,1.3163277749264584,6.399232864379883
muon,20,1.6004014015197754,1.7724798917770386,1.1075220817064104,4.966219902038574
muon,21,1.3100744485855103,1.8352022171020508,1.4008381119741111,5.744908809661865
muon,22,0.9884012341499329,1.5981533527374268,1.6169074840460986,5.457972526550293
muon,23,1.085314154624939,1.798002004623413,1.6566650282422268,6.147141933441162
muon,24,1.0318496227264404,2.004732608795166,1.9428534591097604,6.773512363433838
muon,25,1.161200761795044,2.2005107402801514,1.8950303967063271,7.3909592628479
muon,26,0.8179828524589539,1.7573018074035645,2.1483357531529004,5.965175151824951
muon,27,0.9608917236328125,1.8953486680984497,1.9724893257824783,7.9544572830200195
muon,28,1.2325067520141602,2.2847371101379395,1.853731921877285,7.368185520172119
muon,29,0.9342886209487915,1.8325376510620117,1.9614256344051668,6.065907955169678
muon,30,1.144089698791504,2.090395212173462,1.8271252808075589,6.610233783721924
muon10p,1,0.8100266456604004,0.09927459061145782,0.12255719135081168,1.1027249097824097
muon10p,2,1.45479416847229,0.1890135407447815,0.12992459334867185,1.9793369770050049
muon10p,3,1.0243586301803589,0.2031240463256836,0.19829387905866477,1.5647251605987549
muon10p,4,0.7036007642745972,0.2145361751317978,0.3049117994534609,1.1696808338165283
muon10p,5,0.4300480782985687,0.2164546698331833,0.5033266761464417,0.9768404364585876
muon10p,6,0.2301522046327591,0.17899328470230103,0.7777170111748898,0.7540244460105896
muon10p,7,0.08884429186582565,0.06359045207500458,0.7157516902834916,0.2895212769508362
muon10p,8,0.046443719416856766,0.037055227905511856,0.797852290272485,0.20231659710407257
muon10p,9,0.019233858212828636,0.029344936832785606,1.525691647930162,0.18235187232494354
muon10p,10,0.02999074198305607,0.07310429215431213,2.437561971478199,0.4608233571052551
muon10p,11,0.012384425848722458,0.031635086983442307,2.554424998774222,0.1969631016254425
muon10p,12,0.0038508614525198936,0.0051683527417480946,1.3421289769763263,0.018726250156760216
muon10p,13,0.04725702852010727,0.21931008994579315,4.640793059015115,1.143099308013916
muon10p,14,0.025350725278258324,0.10813330113887787,4.265491418962155,0.7093703746795654
muon10p,15,0.005883034318685532,0.018188947811722755,3.091762996172149,0.11468414217233658
muon10p,16,0.03248898684978485,0.19426962733268738,5.9795532631074915,1.3773082494735718
muon10p,17,0.02329794131219387,0.1034507304430008,4.440337841732647,0.7042787671089172
muon10p,18,0.00881908554583788,0.032110270112752914,3.640997691411122,0.21586741507053375
muon10p,19,0.02742011845111847,0.11156689375638962,4.06879692935239,0.6696292757987976
muon10p,20,0.0359773151576519,0.24830672144889832,6.901757965007201,1.7565929889678955
muon10p,21,0.018046535551548004,0.0620897114276886,3.44053357223806,0.3621671497821808
muon10p,22,0.07784462720155716,0.3121117651462555,4.009419485536597,1.5990084409713745
muon10p,23,0.005839094519615173,0.02111661806702614,3.616419976777124,0.10279449075460434
muon10p,24,0.031137000769376755,0.11999500542879105,3.853775330436005,0.7795864939689636
muon10p,25,0.009262138977646828,0.03803210332989693,4.106190095147924,0.2489463984966278
muon10p,26,0.05450250580906868,0.3019839823246002,5.540735748600261,2.114278793334961
muon10p,27,0.06348862498998642,0.27548280358314514,4.3390891459154295,1.558910608291626
muon10p,28,0.030313974246382713,0.10068973898887634,3.3215618041534554,0.5094246864318848
muon10p,29,0.0011054257629439235,0.0051054018549621105,4.618493639378929,0.03555974364280701
muon10p,30,0.010888992808759212,0.07027871906757355,6.4541064818263685,0.4975092113018036
10p,1,1.648239016532898,0.058021217584609985,0.03520194401577674,1.8961915969848633
10p,2,1.6041045188903809,0.039429839700460434,0.024580592621069063,1.7031105756759644
10p,3,1.6049795150756836,0.04719255119562149,0.029403833975660494,1.7190028429031372
10p,4,1.6241458654403687,0.04518482834100723,0.027820671346385432,1.6988698244094849
10p,5,1.6413085460662842,0.04973572865128517,0.030302485642012003,1.7240126132965088
10p,6,1.636604905128479,0.05066747963428497,0.03095889513438028,1.725839376449585
10p,7,1.634506344795227,0.05321434140205383,0.03255682767552707,1.7249956130981445
10p,8,1.6440891027450562,0.056409500539302826,0.03431048867431735,1.7307239770889282
10p,9,1.6526271104812622,0.05010540783405304,0.030318640857502226,1.7247120141983032
10p,10,1.6515389680862427,0.054774366319179535,0.033165651781532315,1.7297919988632202
10p,11,1.6476556062698364,0.045166976749897,0.02741287474034183,1.726577877998352
10p,12,1.6523226499557495,0.04807707294821739,0.029096661568795257,1.7294453382492065
10p,13,1.6575044393539429,0.04908342659473419,0.0296128477422756,1.731956958770752
10p,14,1.655269742012024,0.04706709459424019,0.028434697620358176,1.7316967248916626
10p,15,1.662758231163025,0.048442091792821884,0.029133575095243287,1.729565143585205
10p,16,1.668125033378601,0.04395648464560509,0.026350833280510234,1.731519341468811
10p,17,1.6641584634780884,0.048104144632816315,0.028905988034504077,1.7320823669433594
10p,18,1.6634761095046997,0.0453154481947422,0.02724141809781379,1.7297290563583374
10p,19,1.6796636581420898,0.04813426360487938,0.028657084632123117,1.7318707704544067
10p,20,1.6610721349716187,0.050941575318574905,0.030667888676276723,1.7314910888671875
10p,21,1.6923974752426147,0.03713212534785271,0.021940546408892276,1.7314469814300537
10p,22,1.6720749139785767,0.05027523636817932,0.03006757409484314,1.731448769569397
10p,23,1.6873130798339844,0.04819979891180992,0.028566007985045862,1.73209547996521
10p,24,1.6897780895233154,0.04363151639699936,0.025820855807940888,1.7324038743972778
10p,25,1.6716792583465576,0.05190221220254898,0.03104794890730712,1.7320574522018433
10p,26,1.6848851442337036,0.04497147351503372,0.02669112115383214,1.7318822145462036
10p,27,1.684271216392517,0.04673661291599274,0.027748863995963956,1.732224941253662
10p,28,1.665218472480774,0.05429903417825699,0.032607753922741754,1.7320719957351685
10p,29,1.689031720161438,0.04833213984966278,0.028615294356368386,1.7320839166641235
10p,30,1.678421974182129,0.044325944036245346,0.026409296778806025,1.732086181640625
spectralnorm,1,1.3622037172317505,0.16554220020771027,0.12152528884895615,1.8833580017089844
spectralnorm,2,1.2818634510040283,0.1028590053319931,0.08024178023909495,1.5412325859069824
spectralnorm,3,1.3000074625015259,0.1266336590051651,0.09740994775637025,1.5898714065551758
spectralnorm,4,1.3397042751312256,0.12245848774909973,0.09140710380811824,1.5853272676467896
spectralnorm,5,1.4012343883514404,0.13616421818733215,0.0971744765324594,1.7009732723236084
spectralnorm,6,1.3949698209762573,0.13918422162532806,0.09977579409418422,1.691488265991211
spectralnorm,7,1.3828887939453125,0.15098407864570618,0.10918020256347306,1.702903151512146
spectralnorm,8,1.4243550300598145,0.1528293490409851,0.10729722984484226,1.7224578857421875
spectralnorm,9,1.4539583921432495,0.12306133657693863,0.08463882958544398,1.6620157957077026
spectralnorm,10,1.4731007814407349,0.13236886262893677,0.08985730256654688,1.6898308992385864
spectralnorm,11,1.4529898166656494,0.12200366705656052,0.08396732424218706,1.7141218185424805
spectralnorm,12,1.4743969440460205,0.12837724387645721,0.08707101869335546,1.703697681427002
spectralnorm,13,1.505622386932373,0.1294144243001938,0.08595410471005875,1.73116934299469
spectralnorm,14,1.4619821310043335,0.14130717515945435,0.09665451592242169,1.716689109802246
spectralnorm,15,1.5058931112289429,0.11022734642028809,0.07319732429769385,1.7107371091842651
spectralnorm,16,1.5191149711608887,0.12977474927902222,0.0854278653970805,1.7287698984146118
spectralnorm,17,1.5275983810424805,0.1301935911178589,0.08522763098833003,1.7296600341796875
spectralnorm,18,1.5039438009262085,0.1301761418581009,0.08655652011593219,1.726990818977356
spectralnorm,19,1.5413732528686523,0.1379435658454895,0.08949394028264245,1.7315571308135986
spectralnorm,20,1.5344595909118652,0.1285397708415985,0.08376875585574248,1.7239038944244385
spectralnorm,21,1.5630968809127808,0.11938043683767319,0.07637430430285305,1.7275880575180054
spectralnorm,22,1.5356556177139282,0.12163374572992325,0.07920639518839175,1.7291072607040405
spectralnorm,23,1.5700465440750122,0.11094992607831955,0.07066664774813114,1.7320228815078735
