optimizer,n_nodes,n_edges,n_samples,lens_type,embedding_type,clusterer_used,trustworthiness,persistence_mean,persistence_std,h0_num_features,h0_max_lifetime,h0_mean_lifetime,h1_num_features,h1_max_lifetime,h1_mean_lifetime,silhouette_score,min_cluster_size,max_cluster_size,mean_cluster_size,std_cluster_size,min_edge_weight,max_edge_weight,mean_edge_weight,std_edge_weight
adam,72,52,620,UMAP,PCA_50,KMeans,0.9981072106261859,0.026389662814464032,0.09640981366125313,620,0.963220477104187,0.02583219952214534,12,0.26335644721984863,0.05514547764323652,0.6367496,6,108,28.72222222222222,19.154504998260723,0.0,0.0,0.0,0.0
adamw,69,55,620,UMAP,PCA_50,KMeans,0.9983370229812355,0.0253514038054971,0.0978342819620143,620,0.7906543612480164,0.025376730626978407,6,0.08012115955352783,0.022738520056009293,0.63828146,6,132,32.57971014492754,28.515648283309876,0.0,0.0,0.0,0.0
muon,75,58,620,UMAP,PCA_50,KMeans,0.995656230234029,0.028746775284306504,0.10563169927009128,620,0.9421351552009583,0.02842260301138753,11,0.3628990650177002,0.04698883318765597,0.59116066,6,129,28.906666666666666,23.216185924670935,0.0,0.0,0.0,0.0
10p,69,55,620,UMAP,PCA_50,KMeans,0.9983370229812355,0.0253514038054971,0.0978342819620143,620,0.7906543612480164,0.025376730626978407,6,0.08012115955352783,0.022738520056009293,0.63828146,6,132,32.57971014492754,28.515648283309876,0.0,0.0,0.0,0.0
muon10p,75,57,620,UMAP,PCA_50,KMeans,0.9976939700611427,0.02860535809722132,0.10186367044123719,620,1.0458430051803589,0.027764164805580145,17,0.29969799518585205,0.059234690304626435,0.6128288,4,126,26.52,22.93664317200754,0.0,0.0,0.0,0.0
muonspectralnorm,75,62,620,UMAP,PCA_50,KMeans,0.9990738983765549,0.026355562054408383,0.09322649517587889,620,1.0394805669784546,0.0250998321343999,8,0.4290197491645813,0.12351766461506486,0.4641504,7,70,28.426666666666666,12.83658660063319,0.0,0.0,0.0,0.0
spectralnorm,69,55,620,UMAP,PCA_50,KMeans,0.9983370229812355,0.0253514038054971,0.0978342819620143,620,0.7906543612480164,0.025376730626978407,6,0.08012115955352783,0.022738520056009293,0.63828146,6,132,32.57971014492754,28.515648283309876,0.0,0.0,0.0,0.0
