optimizer,epoch,dataset,landscape_level,max_value,mean_value,std_value,total_support,integral
spectralnorm,0,validation,1,0.19369543541700618,0.10059232691325075,0.04598868575715534,995,100.59232691325074
spectralnorm,0,validation,2,0.1565558153018327,0.07325585306656016,0.042643010153031145,910,73.25585306656015
spectralnorm,0,validation,3,0.12648392964188893,0.05103295695627139,0.03868582787830179,820,51.03295695627139
spectralnorm,0,validation_corrupt,1,0.14855776829157974,0.04903552584340899,0.03526425064308982,895,49.03552584340899
spectralnorm,0,validation_corrupt,2,0.1080278058687294,0.027959354819689843,0.0265622090437937,728,27.959354819689842
spectralnorm,0,validation_corrupt,3,0.07713580829813083,0.015094589301554025,0.01876289423451912,560,15.094589301554025
spectralnorm,30,validation,1,106.02636518313301,23.91699389768103,24.03017262977635,658,23916.99389768103
spectralnorm,30,validation,2,67.96798587160873,9.868805738781914,14.115060779588365,462,9868.805738781914
spectralnorm,30,validation,3,43.63996078256679,4.861391933342614,9.322588227272677,317,4861.391933342614
spectralnorm,30,validation_corrupt,1,131.14777052001807,27.70208797267019,25.85852312076588,858,27702.08797267019
spectralnorm,30,validation_corrupt,2,68.64400312546479,10.406459956875176,12.194410472417044,624,10406.459956875176
spectralnorm,30,validation_corrupt,3,43.560207947717515,5.663449580723323,8.943965537491104,414,5663.4495807233225
muon10p,0,validation,1,0.19369543541700618,0.10059232691325075,0.04598868575715534,995,100.59232691325074
muon10p,0,validation,2,0.1565558153018327,0.07325585306656016,0.042643010153031145,910,73.25585306656015
muon10p,0,validation,3,0.12648392964188893,0.05103295695627139,0.03868582787830179,820,51.03295695627139
muon10p,0,validation_corrupt,1,0.16216838044239656,0.03415661616453648,0.03128376587908165,788,34.15661616453648
muon10p,0,validation_corrupt,2,0.10807861167962107,0.01731768844051149,0.022888943431357528,566,17.31768844051149
muon10p,0,validation_corrupt,3,0.08186429386313576,0.009417261196086085,0.016094466296149603,402,9.417261196086084
muon10p,30,validation,1,5.834254994322773,1.9539474483390038,1.5157023638087,829,1953.9474483390038
muon10p,30,validation,2,4.447485754414128,1.2955737582282654,1.1523855427906096,704,1295.5737582282654
muon10p,30,validation,3,4.058621311178836,0.9890977478198938,1.0043118970139089,641,989.0977478198938
muon10p,30,validation_corrupt,1,3.7568141632632965,1.3538441510813757,0.822520938151585,924,1353.8441510813757
muon10p,30,validation_corrupt,2,2.611030686918081,0.922386665898411,0.702488957549101,798,922.386665898411
muon10p,30,validation_corrupt,3,2.4317302505579654,0.6681320245080162,0.6267074895516366,688,668.1320245080162
muonspectralnorm,0,validation,1,0.19369543541700618,0.10059232691325075,0.04598868575715534,995,100.59232691325074
muonspectralnorm,0,validation,2,0.1565558153018327,0.07325585306656016,0.042643010153031145,910,73.25585306656015
muonspectralnorm,0,validation,3,0.12648392964188893,0.05103295695627139,0.03868582787830179,820,51.03295695627139
muonspectralnorm,0,validation_corrupt,1,0.1466181294761042,0.039991046157769286,0.03432332029744039,793,39.99104615776928
muonspectralnorm,0,validation_corrupt,2,0.12283447726328456,0.02073955908970128,0.02495118809768332,579,20.739559089701277
muonspectralnorm,0,validation_corrupt,3,0.0707070688562288,0.01237709871618322,0.01757429759942487,447,12.37709871618322
muonspectralnorm,30,validation,1,0.6015234287681657,0.20593774140444293,0.16833417712310567,766,205.93774140444293
muonspectralnorm,30,validation,2,0.5335615010126631,0.14368172091719592,0.146261539583677,593,143.68172091719592
muonspectralnorm,30,validation,3,0.4781760727847395,0.10877194459444148,0.12002415744374505,548,108.77194459444148
muonspectralnorm,30,validation_corrupt,1,0.4063674265099708,0.15787611689021544,0.0832805074774555,949,157.87611689021543
muonspectralnorm,30,validation_corrupt,2,0.2957628594355737,0.09946622071710402,0.07324716597910344,824,99.46622071710402
muonspectralnorm,30,validation_corrupt,3,0.22081337204453266,0.06500222745121943,0.06025678268808184,718,65.00222745121943
adam,0,validation,1,0.19369543541700618,0.10059232691325075,0.04598868575715534,995,100.59232691325074
adam,0,validation,2,0.1565558153018327,0.07325585306656016,0.042643010153031145,910,73.25585306656015
adam,0,validation,3,0.12648392964188893,0.05103295695627139,0.03868582787830179,820,51.03295695627139
adam,0,validation_corrupt,1,0.15189971482134212,0.048441258517516746,0.035508556585504746,882,48.441258517516744
adam,0,validation_corrupt,2,0.11098104539960718,0.025997062579656473,0.026118993598192017,703,25.997062579656472
adam,0,validation_corrupt,3,0.07943212750222339,0.015280631156218845,0.01877355022388772,574,15.280631156218844
adam,30,validation,1,102.36490238578455,14.905683903849585,17.244389225996816,717,14905.683903849585
adam,30,validation,2,45.32782586019408,5.86397875266848,8.874834960423376,470,5863.9787526684795
adam,30,validation,3,27.412833529820148,3.1942644662833626,5.986460370373196,336,3194.2644662833627
adam,30,validation_corrupt,1,50.778898571165,12.896366816908019,11.038046570260708,833,12896.36681690802
adam,30,validation_corrupt,2,27.18668020352871,5.846745259707351,7.144723999133622,579,5846.745259707351
adam,30,validation_corrupt,3,22.42656294201919,3.3727769880751186,5.494616068088004,403,3372.7769880751184
10p,0,validation,1,0.19369543541700618,0.10059232691325075,0.04598868575715534,995,100.59232691325074
10p,0,validation,2,0.1565558153018327,0.07325585306656016,0.042643010153031145,910,73.25585306656015
10p,0,validation,3,0.12648392964188893,0.05103295695627139,0.03868582787830179,820,51.03295695627139
10p,0,validation_corrupt,1,0.15664154844912304,0.0457125281172827,0.03418619695838277,897,45.7125281172827
10p,0,validation_corrupt,2,0.08136216651809414,0.020741246946570157,0.020080650495766367,698,20.741246946570158
10p,0,validation_corrupt,3,0.0665272930068388,0.010764983764558079,0.014404887246770767,526,10.764983764558078
10p,30,validation,1,106.02636518313301,23.91699389768103,24.03017262977635,658,23916.99389768103
10p,30,validation,2,67.96798587160873,9.868805738781914,14.115060779588365,462,9868.805738781914
10p,30,validation,3,43.63996078256679,4.861391933342614,9.322588227272677,317,4861.391933342614
10p,30,validation_corrupt,1,144.80598473661598,25.326260130348064,26.212242085735472,792,25326.260130348066
10p,30,validation_corrupt,2,53.84116277389512,7.83959297211717,11.534109202118314,488,7839.592972117171
10p,30,validation_corrupt,3,48.706522571997766,3.8776694976270245,7.560184161084621,329,3877.6694976270246
adamw,0,validation,1,0.19369543541700618,0.10059232691325075,0.04598868575715534,995,100.59232691325074
adamw,0,validation,2,0.1565558153018327,0.07325585306656016,0.042643010153031145,910,73.25585306656015
adamw,0,validation,3,0.12648392964188893,0.05103295695627139,0.03868582787830179,820,51.03295695627139
adamw,0,validation_corrupt,1,0.13407444500212695,0.03690695734265082,0.02922282575614431,860,36.90695734265082
adamw,0,validation_corrupt,2,0.11392003405933959,0.019170535846871714,0.022175081323719016,660,19.170535846871715
adamw,0,validation_corrupt,3,0.08104581595110005,0.010838062679699896,0.01710159590772369,453,10.838062679699895
adamw,30,validation,1,106.02636518313301,23.91699389768103,24.03017262977635,658,23916.99389768103
adamw,30,validation,2,67.96798587160873,9.868805738781914,14.115060779588365,462,9868.805738781914
adamw,30,validation,3,43.63996078256679,4.861391933342614,9.322588227272677,317,4861.391933342614
adamw,30,validation_corrupt,1,86.42075511160584,24.926755450306086,20.08426007693461,824,24926.755450306086
adamw,30,validation_corrupt,2,51.63484293973079,11.712530979618327,12.800631696695403,623,11712.530979618326
adamw,30,validation_corrupt,3,39.060691165921355,6.55236007809677,9.297621786551815,461,6552.36007809677
muon,0,validation,1,0.19369543541700618,0.10059232691325075,0.04598868575715534,995,100.59232691325074
muon,0,validation,2,0.1565558153018327,0.07325585306656016,0.042643010153031145,910,73.25585306656015
muon,0,validation,3,0.12648392964188893,0.05103295695627139,0.03868582787830179,820,51.03295695627139
muon,0,validation_corrupt,1,0.14577380247369076,0.043618651282723665,0.031731556188726605,892,43.61865128272367
muon,0,validation_corrupt,2,0.08360654521655064,0.020805236088436103,0.019222717562337916,713,20.805236088436104
muon,0,validation_corrupt,3,0.06741183846382559,0.013026462156548792,0.015354504223233166,583,13.026462156548792
muon,30,validation,1,30.54839130359622,7.8410753181974036,8.564466418241969,621,7841.075318197403
muon,30,validation,2,23.324405911687222,3.9238603059607446,5.8002590450203,446,3923.8603059607444
muon,30,validation,3,22.58688120303691,2.701775696867604,4.597727088009755,367,2701.775696867604
muon,30,validation_corrupt,1,35.752548246450004,11.361375110941145,8.26745945866418,866,11361.375110941144
muon,30,validation_corrupt,2,26.307334985765124,6.452575457832793,6.451894608376346,646,6452.575457832793
muon,30,validation_corrupt,3,18.135612874729418,4.104598936210728,4.993861155529799,562,4104.5989362107275
